,,,,host_info if applicable,,,,,,sampling info if applicable,,,,Please place any additional columns you wish to add to the right of 'collection_depth',,,,,,
sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,colony_id,Bleach,,,,,
WSH117,WSH117_S99_L001_R1_001.fastq.gz,WSH117_S99_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,11,Bleach,,,,,
WSH086,WSH086_S71_L001_R1_001.fastq.gz,WSH086_S71_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,11,Bleach,,,,,
WSH125,WSH125_S100_L001_R1_001.fastq.gz,WSH125_S100_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,12,Non-bleach,,,,,
WSH095,WSH095_S84_L001_R1_001.fastq.gz,WSH095_S84_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,12,Non-bleach,,,,,
WSH127,WSH127_S124_L001_R1_001.fastq.gz,WSH127_S124_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,19,Bleach,,,,,
WSH102,WSH102_S109_L001_R1_001.fastq.gz,WSH102_S109_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,19,Bleach,,,,,
WSH128,WSH128_S136_L001_R1_001.fastq.gz,WSH128_S136_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,20,Non-bleach,,,,,
WSH091,WSH091_S36_L001_R1_001.fastq.gz,WSH091_S36_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,20,Non-bleach,,,,,
WSH116,WSH116_S182_L001_R1_001.fastq.gz,WSH116_S182_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,201,Bleach,,,,,
WSH085,WSH085_S59_L001_R1_001.fastq.gz,WSH085_S59_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,201,Bleach,,,,,
WSH118,WSH118_S111_L001_R1_001.fastq.gz,WSH118_S111_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,202,Non-bleach,,,,,
WSH087,WSH087_S83_L001_R1_001.fastq.gz,WSH087_S83_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,202,Non-bleach,,,,,
WSH110,WSH110_S110_L001_R1_001.fastq.gz,WSH110_S110_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,203,Bleach,,,,,
WSH104,WSH104_S133_L001_R1_001.fastq.gz,WSH104_S133_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,203,Bleach,,,,,
WSH120,WSH120_S135_L001_R1_001.fastq.gz,WSH120_S135_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,204,Non-bleach,,,,,
WSH103,WSH103_S121_L001_R1_001.fastq.gz,WSH103_S121_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,204,Non-bleach,,,,,
WSH112,WSH112_S134_L001_R1_001.fastq.gz,WSH112_S134_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,209,Bleach,,,,,
WSH092,WSH092_S48_L001_R1_001.fastq.gz,WSH092_S48_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,209,Bleach,,,,,
WSH115,WSH115_S170_L001_R1_001.fastq.gz,WSH115_S170_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,210,Non-bleach,,,,,
WSH107,WSH107_S169_L001_R1_001.fastq.gz,WSH107_S169_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,210,Non-bleach,,,,,
WSH122,WSH122_S159_L001_R1_001.fastq.gz,WSH122_S159_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,211,Bleach,,,,,
WSH105,WSH105_S145_L001_R1_001.fastq.gz,WSH105_S145_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,211,Bleach,,,,,
WSH111,WSH111_S122_L001_R1_001.fastq.gz,WSH111_S122_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,212,Non-bleach,,,,,
WSH089,WSH089_S12_L001_R1_001.fastq.gz,WSH089_S12_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,212,Non-bleach,,,,,
WSH119,WSH119_S123_L001_R1_001.fastq.gz,WSH119_S123_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,217,Bleach,,,,,
WSH088,WSH088_S95_L001_R1_001.fastq.gz,WSH088_S95_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,217,Bleach,,,,,
WSH126,WSH126_S112_L001_R1_001.fastq.gz,WSH126_S112_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,218,Non-bleach,,,,,
WSH106,WSH106_S157_L001_R1_001.fastq.gz,WSH106_S157_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,218,Non-bleach,,,,,
WSH109,WSH109_S98_L001_R1_001.fastq.gz,WSH109_S98_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,219,Bleach,,,,,
WSH093,WSH093_S60_L001_R1_001.fastq.gz,WSH093_S60_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,219,Bleach,,,,,
WSH123,WSH123_S171_L001_R1_001.fastq.gz,WSH123_S171_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,220,Non-bleach,,,,,
WSH094,WSH094_S72_L001_R1_001.fastq.gz,WSH094_S72_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,220,Non-bleach,,,,,
WSH121,WSH121_S147_L001_R1_001.fastq.gz,WSH121_S147_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,221,Bleach,,,,,
WSH101,WSH101_S97_L001_R1_001.fastq.gz,WSH101_S97_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,221,Bleach,,,,,
WSH114,WSH114_S158_L001_R1_001.fastq.gz,WSH114_S158_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,222,Non-bleach,,,,,
WSH096,WSH096_S96_L001_R1_001.fastq.gz,WSH096_S96_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,222,Non-bleach,,,,,
WSH113,WSH113_S146_L001_R1_001.fastq.gz,WSH113_S146_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,3,Bleach,,,,,
WSH108,WSH108_S181_L001_R1_001.fastq.gz,WSH108_S181_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,3,Bleach,,,,,
WSH124,WSH124_S183_L001_R1_001.fastq.gz,WSH124_S183_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,4,Non-bleach,,,,,
WSH090,WSH090_S24_L001_R1_001.fastq.gz,WSH090_S24_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,4,Non-bleach,,,,,