ColonyID,Species,Site,Pair,Bleach,Date,F0,Fm,Yield,FragVol.mL,ColorScore,BleachScore,DateBlast,BlastVolume.mL,SA.cm2,AFDW.g,BM.mgcm2,SymSlurry.cellmL,SymFrag.cells,ProtSlurry.mgmL,ProtFrag.mg,ProtHost.mgmL,ProtHostFrag.mg,ChlaSlurry.ugmL,ChlaFrag.ug,TAChost.uMCRE,alpha,beta,ik,NPumolmin,Rumolmin,GPumolmin,NP.umolcm2hr,R.umolcm2hr,GP.umolcm2hr,PR,SymSA.cellcm2,ChlProt.ugug,ChlSym.ugcell,ChlSA.ugcm2,ProtSA.mgcm2,TAC.umolmg
3,Montipora capitata,13,1,Bleach,7/19/19,,,,,2,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
4,Montipora capitata,13,1,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
11,Montipora capitata,13,2,Bleach,7/19/19,,,,,2,3,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
12,Montipora capitata,13,2,Non-bleach,7/19/19,,,,,3,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
19,Montipora capitata,13,3,Bleach,7/19/19,,,,,2,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
20,Montipora capitata,13,3,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
26,Porites compressa,13,4,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
27,Porites compressa,13,4,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
35,Porites compressa,13,5,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
36,Porites compressa,13,5,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
41,Porites compressa,13,6,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
42,Porites compressa,13,6,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
43,Porites compressa,13,7,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
44,Porites compressa,13,7,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
45,Porites compressa,13,8,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
46,Porites compressa,13,8,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
201,Montipora capitata,13,9,Bleach,7/19/19,,,,,2,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
202,Montipora capitata,13,9,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
203,Montipora capitata,13,10,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
204,Montipora capitata,13,10,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
209,Montipora capitata,13,11,Bleach,7/19/19,,,,,2,4,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
210,Montipora capitata,13,11,Non-bleach,7/19/19,,,,,3,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
211,Montipora capitata,13,12,Bleach,7/19/19,,,,,2,3,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
212,Montipora capitata,13,12,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
217,Montipora capitata,13,13,Bleach,7/19/19,,,,,3,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
218,Montipora capitata,13,13,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
219,Montipora capitata,13,14,Bleach,7/19/19,,,,,2,3,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
220,Montipora capitata,13,14,Non-bleach,7/19/19,,,,,3,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
221,Montipora capitata,13,15,Bleach,7/19/19,,,,,2,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
222,Montipora capitata,13,15,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
229,Porites compressa,13,16,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
230,Porites compressa,13,16,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
237,Porites compressa,13,17,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
238,Porites compressa,13,17,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
239,Porites compressa,13,18,Bleach,7/19/19,,,,,2,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
240,Porites compressa,13,18,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
243,Porites compressa,13,19,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
244,Porites compressa,13,19,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
247,Porites compressa,13,20,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
248,Porites compressa,13,20,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
3,Montipora capitata,13,1,Bleach,9/16/19,1226,3761,0.674,1.5,2,3,2/11/20,21,15.2527125,0.044333333,2.906586834,40160.44899,843369.4288,0.088951038,1.867971798,0.102980532,2.162591177,2.3255,48.8355,67.7822,0.004797026,0.000980418,407.6234406,0.387733536,-0.094267693,0.48200123,1.525237703,-0.370823328,1.896061031,5.113111552,55293.07845,0.026143596,5.79E-05,3.201758376,0.122468171,0.658204017
4,Montipora capitata,13,1,Non-bleach,9/16/19,1557,4092,0.62,3,3,1,9/10/20,19.5,18.08628544,0.073666667,4.07306779,1229153.089,23968485.24,0.205372505,4.004763848,0.030627495,0.597236153,5.991616667,116.836525,1675.92105,0.006736197,0.000745933,414.6244106,0.535439675,-0.148843294,0.684282969,1.776284058,-0.493777326,2.270061384,4.59733825,1325229.844,0.029174386,4.87E-06,6.459951403,0.221425448,54.71949464
11,Montipora capitata,13,2,Bleach,9/16/19,589,1326,0.556,4,2,4,2/10/20,26,14.16545154,0.086666667,6.118171837,12902.08238,335454.1419,0.135800855,3.53082223,0.075542026,1.964092676,1.723153333,44.80198666,59.48922,0.010937033,0.002352493,187.7504933,0.396958839,-0.104078896,0.501037735,1.681381653,-0.44084255,2.122224204,4.814018537,23681.14712,0.012688825,0.000133556,3.162764458,0.24925589,0.787498339
12,Montipora capitata,13,2,Non-bleach,9/16/19,1498,4092,0.634,3,3,2,3/10/20,21,10.45253394,0.023333333,2.232313568,241957.3712,5081104.795,0.171658113,3.604820373,0.080428,1.688988,8.13396,170.81316,2249.442738,0.005561838,0.000930955,365.9330221,0.409341686,-0.08929706,0.498638746,2.349717426,-0.512586101,2.862303527,5.584044383,486112.2503,0.047384652,3.36E-05,16.34179434,0.344875261,27.96840327
19,Montipora capitata,13,3,Bleach,9/16/19,1536,4092,0.625,3.5,2,3,9/19/20,17.5,16.5251165,0.064166667,3.882978172,329684.6027,5769480.547,0.248241083,4.344218953,0.306829242,5.369511735,13.02454,227.92945,1257.052835,0.006722445,0.000762532,356.7835685,0.457459174,-0.128963787,0.58642296,1.660959571,-0.468246455,2.129206026,4.54719091,349134.0316,0.052467303,3.95E-05,13.79291033,0.262885829,4.096913406
20,Montipora capitata,13,3,Non-bleach,9/16/19,1709,4092,0.582,2,3,1,3/3/20,13,15.38920984,0.054888889,3.566712616,728356.3936,9468633.117,0.170909443,2.221822759,0.103744187,1.348674431,12.1063,157.3819,1157.884272,0.006919967,0.00076572,308.1805928,0.423921333,-0.100698152,0.524619485,1.652799608,-0.392605544,2.045405152,5.209822375,615277.4064,0.070834588,1.66E-05,10.22676938,0.144375363,11.16095567
26,Porites compressa,13,4,Non-bleach,9/16/19,1812,4092,0.557,4,3,1,2/10/20,25,25.13286114,0.058333333,2.320998513,171011.9736,4275299.34,0.192695986,4.81739965,0.053643251,1.341081275,9.634373333,240.8593333,320.99224,0.005958375,0.000417523,526.5905159,0.605531859,-0.160048339,0.765580199,1.445593932,-0.382085442,1.827679374,4.783431083,170107.9442,0.049997789,5.63E-05,9.583442647,0.191677327,5.98383271
27,Porites compressa,13,4,Bleach,9/16/19,2096,4092,0.488,3,2,2,3/3/20,22.5,14.86902336,0.045,3.026426075,305908.1998,6882934.496,0.110922534,2.495757015,0.080814884,1.81833489,11.34856667,255.3427501,1012.919431,0.008182092,0.000544824,394.7186451,0.602200181,-0.189057765,0.791257946,2.430019105,-0.762892466,3.192911571,4.185270815,462904.2762,0.102310741,3.71E-05,17.17279904,0.167849425,12.53382274
35,Porites compressa,13,5,Bleach,9/16/19,1706,4092,0.583,3.5,3,1,10/7/20,24,16.37646034,0.064,3.908048423,636317.9417,15271630.6,0.183828198,4.411876752,0.108593517,2.606244408,6.816553333,163.59728,5375.862364,0.006067601,0.001350705,299.5821439,0.372630855,-0.071807777,0.444438632,1.36524321,-0.263089003,1.628332214,6.189282697,932535.4981,0.037081108,1.07E-05,9.989782688,0.269403562,49.50445029
36,Porites compressa,13,5,Non-bleach,9/16/19,1892,4092,0.538,8,3,1,10/7/20,35,27.81845376,0.101111111,3.634677613,1067331.088,37356588.08,0.21666443,7.58325505,0.13744927,4.81072445,14.37896,503.2636,932.8848348,0.011091883,0.001629513,252.4164562,0.59166348,-0.080282232,0.671945712,1.276124443,-0.173156062,1.449280505,8.369793583,1342870.758,0.066365116,1.35E-05,18.09099831,0.272598007,6.787121058
41,Porites compressa,13,6,Bleach,9/16/19,1680,4092,0.589,4,2,1,3/9/20,18,16.590656,0.032,1.928796547,99692.3572,1794462.43,0.1925701,3.4662618,0.154996619,2.789939142,13.5602,244.0836,1414.319492,0.007201851,0.000622657,412.8122117,0.538250017,-0.18716492,0.725414938,1.946577703,-0.676880723,2.623458425,3.875806098,108161.0293,0.070416955,0.00013602,14.71211265,0.208928556,9.124840923
42,Porites compressa,13,6,Non-bleach,9/16/19,1942,4092,0.525,5,3,1,9/19/20,21.5,18.87183384,0.078833333,4.177301157,805831.2524,17325371.93,0.2379528,5.1159852,0.318568164,6.849215526,22.66538667,487.3058134,1362.896369,0.014612199,0.000672393,300.7515099,0.764136396,-0.303761346,1.067897742,2.429450372,-0.965760981,3.395211353,3.515581413,918054.4973,0.095251607,2.81E-05,25.82185799,0.271091047,4.278193878
43,Porites compressa,13,7,Bleach,9/16/19,1739,4092,0.575,4,3,1,3/2/20,22.5,15.69700544,0.06,3.822385119,616107.3571,13862415.53,0.192891974,4.340069415,0.084224182,1.895044095,15.10602667,339.8856001,2028.306173,0.005764929,0.000395652,559.0787224,0.619343795,-0.167080195,0.78642399,2.367370505,-0.638644851,3.006015357,4.706865406,883124.8472,0.078313402,2.45E-05,21.65289433,0.276490279,24.0822306
44,Porites compressa,13,7,Non-bleach,9/16/19,1686,3383,0.502,4.5,2,2,3/10/20,24.5,15.8243485,0.038111111,2.408384213,22389.06789,548532.1633,0.106556676,2.610638562,0.051975538,1.273400681,2.65066,64.94117,2259.716632,0.001675998,0.001808312,804.0486779,0.245753125,-0.082383573,0.328136698,0.931803764,-0.31236764,1.244171404,3.983035525,34663.80706,0.024875588,0.000118391,4.103876378,0.164976053,43.47654145
45,Porites compressa,13,8,Bleach,9/16/19,1759,4092,0.57,2,2,2,3/2/20,12,14.51982914,0.037333333,2.571196463,189683.3556,2276200.267,0.304018514,3.648222168,0.053351582,0.640218984,4.709953333,56.51944,1887.259282,0.004389286,0.000992679,440.3033557,0.373666806,-0.101757063,0.475423869,1.54409588,-0.420488681,1.964584561,4.672146144,156764.9485,0.015492324,2.48E-05,3.892569221,0.251257927,35.37400788
46,Porites compressa,13,8,Non-bleach,9/16/19,1863,4092,0.545,2,3,2,9/10/20,22,15.30116024,0.051333333,3.354865417,790510.7759,17391237.07,0.471561994,10.37436387,0.01930165,0.4246363,5.476808333,120.4897833,2491.742406,0.005617167,0.000640225,470.2174979,0.501093693,-0.1486637,0.649757392,1.964924299,-0.582950694,2.547874992,4.370652636,1136595.97,0.011614185,6.93E-06,7.874552087,0.678011583,129.0947875
201,Montipora capitata,13,9,Bleach,9/16/19,1087,2834,0.616,2,2,4,9/19/20,18,13.32072674,0.048,3.603407002,259387.2486,4668970.475,0.14340394,2.58127092,0.209618131,3.773126358,4.254393333,76.57907999,1427.265765,0.003623003,0.001046778,507.0425992,0.352849204,-0.099056943,0.451906147,1.589324116,-0.446178102,2.035502218,4.562084533,350504.1854,0.0296672,1.64E-05,5.748866521,0.193778536,6.808885082
202,Montipora capitata,13,9,Non-bleach,9/16/19,1042,2758,0.622,3,3,2,2/10/20,28,12.4985485,0.074666667,5.974027037,394597.9074,11048741.41,0.083828179,2.347189012,0.024516854,0.686471912,2.488873333,69.68845332,74.082456,0.005301346,0.000924327,406.9748145,0.415777746,-0.112813259,0.528591005,1.995964952,-0.541566529,2.537531481,4.68553971,884001.9631,0.029690175,6.31E-06,5.575723719,0.187796928,3.021695035
203,Montipora capitata,13,10,Bleach,9/16/19,1608,4092,0.607,2,2,3,3/9/20,22,18.18577746,0.036666667,2.016227612,600842.5423,13218535.93,0.138574629,3.048641838,0.205668688,4.524711136,4.344246667,95.57342667,1060.935106,0.007299285,0.001224722,298.7817986,0.414296656,-0.122203145,0.536499801,1.366881312,-0.403182582,1.770063894,4.390229086,726861.1946,0.03134951,7.23E-06,5.255394051,0.167638796,5.158466835
204,Montipora capitata,13,10,Non-bleach,9/16/19,1509,4076,0.63,4,3,1,2/24/20,19,24.2801365,0.061222222,2.521494153,1413588.761,26858186.46,0.199706585,3.794425115,0.175246351,3.329680669,9.83858,186.93302,1462.048149,0.019520242,0.000380225,267.5485659,0.945836719,-0.328480793,1.274317512,2.337309888,-0.811727215,3.149037103,3.879427775,1106179.385,0.049265176,6.96E-06,7.699010259,0.156276927,8.342816502
209,Montipora capitata,13,11,Bleach,9/16/19,1247,2965,0.579,3.5,2,5,3/10/20,21.5,17.44455744,0.0645,3.697428279,257978.8622,5546545.537,0.238726952,5.132629468,0.186077836,4.000673474,6.00824,129.17716,65.9080056,0.004501712,0.000885533,464.5073521,0.401500272,-0.109768378,0.511268649,1.380947404,-0.377544841,1.758492245,4.657704324,317952.7802,0.025167833,2.33E-05,7.405012162,0.294225261,0.354195895
210,Montipora capitata,13,11,Non-bleach,9/16/19,1253,3853,0.675,5,3,2,3/3/20,20.5,14.40031256,0.063777778,4.428916214,401066.5511,8221864.298,0.076631889,1.570953725,0.072851118,1.493447919,11.2058,229.7189,365.2400503,0.00668766,0.000744095,371.6325226,0.48952082,-0.114419706,0.603940525,2.039625811,-0.476738425,2.516364236,5.278291181,570950.4057,0.146228941,2.79E-05,15.95235513,0.109091641,5.013513318
211,Montipora capitata,13,12,Bleach,9/16/19,649,1364,0.524,3,1,5,9/19/20,14,14.42245186,0.046666667,3.235695783,179919.6085,2518874.519,0.288182661,4.034557254,0.318568164,4.459954296,1.00126,14.01764,2289.650314,0.004151913,0.002379763,269.2972444,0.238443366,-0.035490823,0.273934189,0.991967391,-0.147648223,1.139615614,7.718451327,174649.5356,0.003474394,5.57E-06,0.971931828,0.279741426,7.18731679
212,Montipora capitata,13,12,Non-bleach,9/16/19,1230,3507,0.649,3.5,3,1,3/9/20,25,20.97126146,0.036111111,1.721933188,324514.5339,8112863.348,0.183422304,4.5855576,0.168712148,4.2178037,8.52514,213.1285,1392.729979,0.007684561,0.000702549,361.951811,0.535262233,-0.144800035,0.680062269,1.531416412,-0.414281332,1.945697744,4.69656149,386856.2396,0.046478208,2.63E-05,10.16288412,0.218659121,8.255066369
217,Montipora capitata,13,13,Bleach,9/16/19,1422,4092,0.652,2.5,2,3,9/10/20,23,12.59706626,0.040888889,3.245905677,440687.8155,10135819.76,0.15947489,3.66792247,0.018328905,0.421564815,2.490525,57.282075,1029.111917,0.004107805,0.000966274,439.9810524,0.374220138,-0.06948585,0.443705988,1.782415669,-0.330962061,2.113377729,6.385558904,804617.484,0.015617035,5.65E-06,4.547255196,0.291172754,56.14693933
218,Montipora capitata,13,13,Non-bleach,9/16/19,999,2930,0.659,2,3,1,2/24/20,25,22.29870274,0.088888889,3.986280723,785605.6646,19640141.62,0.234915574,5.87288935,0.157114708,3.9278677,5.616726667,140.4181667,1223.750048,0.005882704,0.000929328,369.9911085,0.433632235,-0.101798616,0.535430851,1.166791377,-0.273913556,1.440704934,5.259706584,880775.0769,0.023909554,7.15E-06,6.2971451,0.263373588,7.788895537
219,Montipora capitata,13,14,Bleach,9/16/19,1080,2608,0.586,2,2,4,9/10/20,24,14.20979074,0.048,3.37795263,71689.07354,1720537.765,0.223854342,5.372504208,0.020781887,0.498765288,0.335966667,8.063200008,1567.874901,0.001880268,0.002514315,474.7849216,0.18641127,-0.033198562,0.219609832,0.787110548,-0.140178964,0.927289513,6.615040508,121081.1473,0.001500827,4.69E-06,0.567439743,0.378084682,75.44429921
220,Montipora capitata,13,14,Non-bleach,9/16/19,1235,3564,0.653,2.9,3,1,3/9/20,27.5,18.846,0.064166667,3.404789699,512684.5624,14098825.47,0.119697324,3.29167641,0.140692048,3.86903132,5.02938,138.30795,1639.659067,0.007365146,0.000674777,349.5370215,0.503732801,-0.127250481,0.630983282,1.603733847,-0.405127287,2.008861134,4.958592515,748107.0503,0.042017481,9.81E-06,7.338849093,0.174661807,11.65424123
221,Montipora capitata,13,15,Bleach,9/16/19,1211,3486,0.653,3.75,1,4,3/3/20,23,18.81585506,0.063888889,3.39548156,514315.5162,11829256.87,0.170078306,3.911801038,0.097443463,2.241199649,4.013786667,92.31709334,813.2543796,0.015317024,0.000864158,234.2119845,0.625334205,-0.250895716,0.876229921,1.994065758,-0.800056278,2.794122036,3.492406864,628685.5863,0.023599639,7.80E-06,4.906345901,0.207899191,8.345910075
222,Montipora capitata,13,15,Non-bleach,9/16/19,1249,3611,0.654,3.8,3,3,2/18/20,20,10.95957586,0.044444444,4.055306976,807420.2279,16148404.56,0.108695197,2.17390394,0.037225635,0.7445127,3.03672,60.7344,69.97925,0.012714437,0.001105545,273.8106488,0.69050449,-0.159640751,0.850145241,3.78028036,-0.873979542,4.654259902,5.325364832,1473451.598,0.027937941,3.76E-06,5.541674311,0.198356576,1.879867194
229,Porites compressa,13,16,Bleach,9/16/19,987,2261,0.563,2,2,3,9/19/20,16,8.25326434,0.062222222,7.539104488,447297.6682,7156762.691,0.201483218,3.223731488,0.076040139,1.216642224,8.461806667,135.3889067,1050.285192,0.006867008,0.000793247,350.9939134,0.486028632,-0.106899759,0.592928391,3.533355617,-0.777145292,4.310500909,5.546583045,867143.2776,0.041997576,1.89E-05,16.40428576,0.39060078,13.81224713
230,Porites compressa,13,16,Non-bleach,9/16/19,2112,4092,0.484,5,2,2,10/7/20,22.5,14.51982914,0.0575,3.960101696,834079.4369,18766787.33,0.163507713,3.678923543,0.101054609,2.273728703,9.020686667,202.96545,3610.546413,0.006028043,0.000505448,453.8431874,0.547420389,-0.11737567,0.664796059,2.262094341,-0.485029136,2.747123477,5.66383186,1292493.675,0.055169793,1.08E-05,13.97850126,0.253372372,35.72866639
237,Porites compressa,13,17,Bleach,9/16/19,1840,4092,0.55,4.5,2,2,2/24/20,18,17.73105816,0.064,3.609485651,1585206.935,28533724.83,0.288595519,5.194719342,0.124020895,2.23237611,25.14719333,452.6494799,3773.416669,0.006649509,0.000461145,513.1321791,0.627380009,-0.203460751,0.83084076,2.122986694,-0.688489369,2.811476064,4.083543169,1609251.099,0.087136465,1.59E-05,25.52862191,0.292972889,30.42565262
238,Porites compressa,13,17,Non-bleach,9/16/19,1601,4082,0.608,3,3,1,10/7/20,18,10.39811874,0.048,4.616219645,854876.5739,15387778.33,0.19665913,3.53986434,0.104288483,1.877192694,9.45326,170.15868,990.7958945,0.006104647,0.000306744,649.8405878,0.726076082,-0.24585053,0.971926612,4.189658344,-1.418625055,5.608283399,3.953323233,1479861.763,0.048069266,1.11E-05,16.3643717,0.340433152,9.500530317
239,Porites compressa,13,18,Bleach,9/16/19,1971,4092,0.518,3.5,2,2,2/10/20,19,8.120054,0.082333333,10.13950564,50419.81898,957976.5606,0.129526397,2.461001543,0.031912261,0.606332959,18.71644667,355.6124867,364.228859,0.005791099,0.000930973,377.342324,0.415175688,-0.119112253,0.534287942,3.067780251,-0.880133949,3.947914201,4.485583379,117976.6244,0.144499091,0.000371212,43.79434998,0.303076992,11.41344573
240,Porites compressa,13,18,Non-bleach,9/16/19,1522,3773,0.597,3,3,1,10/7/20,22,19.71764546,0.044,2.231503761,894731.5364,19684093.8,0.204866397,4.507060734,0.143813585,3.16389887,11.1994,246.3868,5432.098914,0.008668828,0.000688538,367.6357037,0.571230918,-0.209576899,0.780807817,1.738232648,-0.637734053,2.375966701,3.725638756,998298.3942,0.054666847,1.25E-05,12.49575161,0.228580068,37.77180656
243,Porites compressa,13,19,Bleach,9/16/19,1835,4092,0.552,3.5,2,2,3/3/10,25,14.877854,0.030555556,2.053760949,506409.2265,12660230.66,0.116767503,2.919187575,0.06325594,1.5813985,6.172506667,154.3126667,1057.832324,0.005380116,0.000606402,498.2929539,0.505336758,-0.150136909,0.655473667,2.037942132,-0.605478083,2.643420215,4.365839631,850944.6766,0.052861511,1.22E-05,10.37197076,0.196210258,16.72305121
244,Porites compressa,13,19,Non-bleach,9/16/19,1853,4092,0.547,7.5,3,1,2/18/20,25,33.93362584,0.108333333,3.192506862,952164.5215,23804113.04,0.18535978,4.6339945,0.065909646,1.64774115,12.88525333,322.1313333,326.08923,0.017437626,0.002374602,280.0679575,0.908946535,-0.265588196,1.174534731,1.607160767,-0.4696018,2.076762566,4.422390557,701490.4081,0.069514829,1.35E-05,9.492983002,0.136560547,4.947519063
