Species,Bleaching_status,BNB,Date,Month,Depth,Reef,Percent,Rep
Mcap,Bleached,1,12/10/15,1.5,1,Inner,2.41187384,1
Mcap,Healthy,3,12/10/15,1.5,1,Inner,92.57884972,1
Mcap,Pale,2,12/10/15,1.5,1,Inner,5.009276438,1
Mcap,Bleached,1,12/10/15,1.5,1,Inner,0.729927007,2
Mcap,Healthy,3,12/10/15,1.5,1,Inner,54.74452555,2
Mcap,Pale,2,12/10/15,1.5,1,Inner,44.52554745,2
Mcap,Bleached,1,12/10/15,1.5,2,Inner,4.100946372,1
Mcap,Healthy,3,12/10/15,1.5,2,Inner,76.97160883,1
Mcap,Pale,2,12/10/15,1.5,2,Inner,18.92744479,1
Mcap,Bleached,1,12/10/15,1.5,2,Inner,3.693931398,2
Mcap,Healthy,3,12/10/15,1.5,2,Inner,85.75197889,2
Mcap,Pale,2,12/10/15,1.5,2,Inner,10.55408971,2
Mcap,Bleached,1,12/10/15,1.5,1,Outer,0,1
Mcap,Healthy,3,12/10/15,1.5,1,Outer,56.75675676,1
Mcap,Pale,2,12/10/15,1.5,1,Outer,43.24324324,1
Mcap,Bleached,1,12/10/15,1.5,1,Outer,0,2
Mcap,Healthy,3,12/10/15,1.5,1,Outer,69.98867497,2
Mcap,Pale,2,12/10/15,1.5,1,Outer,30.01132503,2
Mcap,Bleached,1,12/10/15,1.5,2,Outer,0,1
Mcap,Healthy,3,12/10/15,1.5,2,Outer,71.54255319,1
Mcap,Pale,2,12/10/15,1.5,2,Outer,28.45744681,1
Mcap,Bleached,1,12/10/15,1.5,2,Outer,8.799048751,2
Mcap,Healthy,3,12/10/15,1.5,2,Outer,59.69084423,2
Mcap,Pale,2,12/10/15,1.5,2,Outer,31.51010702,2
Pcomp,Bleached,1,12/10/15,1.5,1,Inner,1.767676768,1
Pcomp,Healthy,3,12/10/15,1.5,1,Inner,92.67676768,1
Pcomp,Pale,2,12/10/15,1.5,1,Inner,5.555555556,1
Pcomp,Bleached,1,12/10/15,1.5,1,Inner,0,2
Pcomp,Healthy,3,12/10/15,1.5,1,Inner,85.67567568,2
Pcomp,Pale,2,12/10/15,1.5,1,Inner,14.32432432,2
Pcomp,Bleached,1,12/10/15,1.5,2,Inner,0.262467192,1
Pcomp,Healthy,3,12/10/15,1.5,2,Inner,93.96325459,1
Pcomp,Pale,2,12/10/15,1.5,2,Inner,5.774278215,1
Pcomp,Bleached,1,12/10/15,1.5,2,Inner,0,2
Pcomp,Healthy,3,12/10/15,1.5,2,Inner,89.84962406,2
Pcomp,Pale,2,12/10/15,1.5,2,Inner,10.15037594,2
Pcomp,Bleached,1,12/10/15,1.5,1,Outer,0,1
Pcomp,Healthy,3,12/10/15,1.5,1,Outer,98.05615551,1
Pcomp,Pale,2,12/10/15,1.5,1,Outer,1.943844492,1
Pcomp,Bleached,1,12/10/15,1.5,1,Outer,0,2
Pcomp,Healthy,3,12/10/15,1.5,1,Outer,99.08759124,2
Pcomp,Pale,2,12/10/15,1.5,1,Outer,0.912408759,2
Pcomp,Bleached,1,12/10/15,1.5,2,Outer,0,1
Pcomp,Healthy,3,12/10/15,1.5,2,Outer,99.05335628,1
Pcomp,Pale,2,12/10/15,1.5,2,Outer,0.946643718,1
Pcomp,Bleached,1,12/10/15,1.5,2,Outer,0,2
Pcomp,Healthy,3,12/10/15,1.5,2,Outer,98.26732673,2
Pcomp,Pale,2,12/10/15,1.5,2,Outer,1.732673267,2
Mcap,Bleached,1,3/23/16,4.5,1,Inner,0,1
Mcap,Healthy,3,3/23/16,4.5,1,Inner,96.79487179,1
Mcap,Pale,2,3/23/16,4.5,1,Inner,3.205128205,1
Mcap,Bleached,1,3/23/16,4.5,1,Inner,1.694915254,2
Mcap,Healthy,3,3/23/16,4.5,1,Inner,96.04519774,2
Mcap,Pale,2,3/23/16,4.5,1,Inner,2.259887006,2
Mcap,Bleached,1,3/23/16,4.5,2,Inner,0,1
Mcap,Healthy,3,3/23/16,4.5,2,Inner,88.51851852,1
Mcap,Pale,2,3/23/16,4.5,2,Inner,11.48148148,1
Mcap,Bleached,1,3/23/16,4.5,2,Inner,0,2
Mcap,Healthy,3,3/23/16,4.5,2,Inner,86.57844991,2
Mcap,Pale,2,3/23/16,4.5,2,Inner,13.42155009,2
Mcap,Bleached,1,3/23/16,4.5,1,Outer,0,1
Mcap,Healthy,3,3/23/16,4.5,1,Outer,81.48148148,1
Mcap,Pale,2,3/23/16,4.5,1,Outer,18.51851852,1
Mcap,Bleached,1,3/23/16,4.5,1,Outer,0,2
Mcap,Healthy,3,3/23/16,4.5,1,Outer,74.82014388,2
Mcap,Pale,2,3/23/16,4.5,1,Outer,25.17985612,2
Mcap,Bleached,1,3/23/16,4.5,2,Outer,0.760456274,1
Mcap,Healthy,3,3/23/16,4.5,2,Outer,85.93155894,1
Mcap,Pale,2,3/23/16,4.5,2,Outer,13.30798479,1
Mcap,Bleached,1,3/23/16,4.5,2,Outer,0,2
Mcap,Healthy,3,3/23/16,4.5,2,Outer,95.78544061,2
Mcap,Pale,2,3/23/16,4.5,2,Outer,4.214559387,2
Pcomp,Bleached,1,3/23/16,4.5,1,Inner,0,1
Pcomp,Healthy,3,3/23/16,4.5,1,Inner,100,1
Pcomp,Pale,2,3/23/16,4.5,1,Inner,0,1
Pcomp,Bleached,1,3/23/16,4.5,1,Inner,0,2
Pcomp,Healthy,3,3/23/16,4.5,1,Inner,100,2
Pcomp,Pale,2,3/23/16,4.5,1,Inner,0,2
Pcomp,Bleached,1,3/23/16,4.5,2,Inner,0,1
Pcomp,Healthy,3,3/23/16,4.5,2,Inner,100,1
Pcomp,Pale,2,3/23/16,4.5,2,Inner,0,1
Pcomp,Bleached,1,3/23/16,4.5,2,Inner,0,2
Pcomp,Healthy,3,3/23/16,4.5,2,Inner,100,2
Pcomp,Pale,2,3/23/16,4.5,2,Inner,0,2
Pcomp,Bleached,1,3/23/16,4.5,1,Outer,0,1
Pcomp,Healthy,3,3/23/16,4.5,1,Outer,99.93997599,1
Pcomp,Pale,2,3/23/16,4.5,1,Outer,0.06002401,1
Pcomp,Bleached,1,3/23/16,4.5,1,Outer,0,2
Pcomp,Healthy,3,3/23/16,4.5,1,Outer,99.58506224,2
Pcomp,Pale,2,3/23/16,4.5,1,Outer,0.414937759,2
Pcomp,Bleached,1,3/23/16,4.5,2,Outer,0,1
Pcomp,Healthy,3,3/23/16,4.5,2,Outer,100,1
Pcomp,Pale,2,3/23/16,4.5,2,Outer,0,1
Pcomp,Bleached,1,3/23/16,4.5,2,Outer,0,2
Pcomp,Healthy,3,3/23/16,4.5,2,Outer,100,2
Pcomp,Pale,2,3/23/16,4.5,2,Outer,0,2
Mcap,Bleached,1,9/1/16,10,1,Inner,0,1
Mcap,Healthy,3,9/1/16,10,1,Inner,58.0474934,1
Mcap,Pale,2,9/1/16,10,1,Inner,41.9525066,1
Mcap,Bleached,1,9/1/16,10,1,Inner,1.973684211,2
Mcap,Healthy,3,9/1/16,10,1,Inner,70.39473684,2
Mcap,Pale,2,9/1/16,10,1,Inner,27.63157895,2
Mcap,Bleached,1,9/1/16,10,2,Inner,0,1
Mcap,Healthy,3,9/1/16,10,2,Inner,62.20930233,1
Mcap,Pale,2,9/1/16,10,2,Inner,37.79069767,1
Mcap,Bleached,1,9/1/16,10,2,Inner,0.265251989,2
Mcap,Healthy,3,9/1/16,10,2,Inner,88.06366048,2
Mcap,Pale,2,9/1/16,10,2,Inner,11.67108753,2
Mcap,Bleached,1,9/1/16,10,1,Outer,0,1
Mcap,Healthy,3,9/1/16,10,1,Outer,76.66666667,1
Mcap,Pale,2,9/1/16,10,1,Outer,23.33333333,1
Mcap,Bleached,1,9/1/16,10,1,Outer,1.894736842,2
Mcap,Healthy,3,9/1/16,10,1,Outer,62,2
Mcap,Pale,2,9/1/16,10,1,Outer,36.10526316,2
Mcap,Bleached,1,9/1/16,10,2,Outer,0,1
Mcap,Healthy,3,9/1/16,10,2,Outer,11.81818182,1
Mcap,Pale,2,9/1/16,10,2,Outer,88.18181818,1
Mcap,Bleached,1,9/1/16,10,2,Outer,0.313479624,2
Mcap,Healthy,3,9/1/16,10,2,Outer,97.17868339,2
Mcap,Pale,2,9/1/16,10,2,Outer,2.507836991,2
Pcomp,Bleached,1,9/1/16,10,1,Inner,0,1
Pcomp,Healthy,3,9/1/16,10,1,Inner,100,1
Pcomp,Pale,2,9/1/16,10,1,Inner,0,1
Pcomp,Bleached,1,9/1/16,10,1,Inner,0,2
Pcomp,Healthy,3,9/1/16,10,1,Inner,99.21011058,2
Pcomp,Pale,2,9/1/16,10,1,Inner,0.789889415,2
Pcomp,Bleached,1,9/1/16,10,2,Inner,0,1
Pcomp,Healthy,3,9/1/16,10,2,Inner,100,1
Pcomp,Pale,2,9/1/16,10,2,Inner,0,1
Pcomp,Bleached,1,9/1/16,10,2,Inner,0,2
Pcomp,Healthy,3,9/1/16,10,2,Inner,100,2
Pcomp,Pale,2,9/1/16,10,2,Inner,0,2
Pcomp,Bleached,1,9/1/16,10,1,Outer,0,1
Pcomp,Healthy,3,9/1/16,10,1,Outer,100,1
Pcomp,Pale,2,9/1/16,10,1,Outer,0,1
Pcomp,Bleached,1,9/1/16,10,1,Outer,0,2
Pcomp,Healthy,3,9/1/16,10,1,Outer,100,2
Pcomp,Pale,2,9/1/16,10,1,Outer,0,2
Pcomp,Bleached,1,9/1/16,10,2,Outer,0,1
Pcomp,Healthy,3,9/1/16,10,2,Outer,99.16620345,1
Pcomp,Pale,2,9/1/16,10,2,Outer,0.833796554,1
Pcomp,Bleached,1,9/1/16,10,2,Outer,0,2
Pcomp,Healthy,3,9/1/16,10,2,Outer,100,2
Pcomp,Pale,2,9/1/16,10,2,Outer,0,2
Mcap,Bleached,1,6/17/17,18,1,Inner,0,1
Mcap,Healthy,3,6/17/17,18,1,Inner,91,1
Mcap,Pale,2,6/17/17,18,1,Inner,9,1
Mcap,Bleached,1,6/17/17,18,1,Inner,0,2
Mcap,Healthy,3,6/17/17,18,1,Inner,82.72727273,2
Mcap,Pale,2,6/17/17,18,1,Inner,17.27272727,2
Mcap,Bleached,1,6/17/17,18,2,Inner,0,1
Mcap,Healthy,3,6/17/17,18,2,Inner,90.34482759,1
Mcap,Pale,2,6/17/17,18,2,Inner,9.655172414,1
Mcap,Bleached,1,6/17/17,18,2,Inner,0,2
Mcap,Healthy,3,6/17/17,18,2,Inner,90.12345679,2
Mcap,Pale,2,6/17/17,18,2,Inner,9.87654321,2
Mcap,Bleached,1,6/17/17,18,1,Outer,0,1
Mcap,Healthy,3,6/17/17,18,1,Outer,100,1
Mcap,Pale,2,6/17/17,18,1,Outer,0,1
Mcap,Bleached,1,6/17/17,18,1,Outer,0.092936803,2
Mcap,Healthy,3,6/17/17,18,1,Outer,59.57249071,2
Mcap,Pale,2,6/17/17,18,1,Outer,40.33457249,2
Mcap,Bleached,1,6/17/17,18,2,Outer,0,1
Mcap,Healthy,3,6/17/17,18,2,Outer,61.11111111,1
Mcap,Pale,2,6/17/17,18,2,Outer,38.88888889,1
Mcap,Bleached,1,6/17/17,18,2,Outer,0,2
Mcap,Healthy,3,6/17/17,18,2,Outer,85.74610245,2
Mcap,Pale,2,6/17/17,18,2,Outer,14.25389755,2
Pcomp,Bleached,1,6/17/17,18,1,Inner,0,1
Pcomp,Healthy,3,6/17/17,18,1,Inner,100,1
Pcomp,Pale,2,6/17/17,18,1,Inner,0,1
Pcomp,Bleached,1,6/17/17,18,1,Inner,0,2
Pcomp,Healthy,3,6/17/17,18,1,Inner,100,2
Pcomp,Pale,2,6/17/17,18,1,Inner,0,2
Pcomp,Bleached,1,6/17/17,18,2,Inner,0,1
Pcomp,Healthy,3,6/17/17,18,2,Inner,100,1
Pcomp,Pale,2,6/17/17,18,2,Inner,0,1
Pcomp,Bleached,1,6/17/17,18,2,Inner,0,2
Pcomp,Healthy,3,6/17/17,18,2,Inner,100,2
Pcomp,Pale,2,6/17/17,18,2,Inner,0,2
Pcomp,Bleached,1,6/17/17,18,1,Outer,0,1
Pcomp,Healthy,3,6/17/17,18,1,Outer,99.62141698,1
Pcomp,Pale,2,6/17/17,18,1,Outer,0.378583018,1
Pcomp,Bleached,1,6/17/17,18,1,Outer,0,2
Pcomp,Healthy,3,6/17/17,18,1,Outer,99.72677596,2
Pcomp,Pale,2,6/17/17,18,1,Outer,0.273224044,2
Pcomp,Bleached,1,6/17/17,18,2,Outer,0,1
Pcomp,Healthy,3,6/17/17,18,2,Outer,100,1
Pcomp,Pale,2,6/17/17,18,2,Outer,0,1
Pcomp,Bleached,1,6/17/17,18,2,Outer,0,2
Pcomp,Healthy,3,6/17/17,18,2,Outer,100,2
Pcomp,Pale,2,6/17/17,18,2,Outer,0,2
Mcap,Bleached,1,10/2/15,0,1,Inner,13.23877069,1
Mcap,Healthy,3,10/2/15,0,1,Inner,35.69739953,1
Mcap,Pale,2,10/2/15,0,1,Inner,51.06382979,1
Mcap,Bleached,1,10/2/15,0,1,Inner,23.63636364,2
Mcap,Healthy,3,10/2/15,0,1,Inner,35.63636364,2
Mcap,Pale,2,10/2/15,0,1,Inner,40.72727273,2
Mcap,Bleached,1,10/2/15,0,2,Inner,25.78397213,1
Mcap,Healthy,3,10/2/15,0,2,Inner,26.65505226,1
Mcap,Pale,2,10/2/15,0,2,Inner,47.56097561,1
Mcap,Bleached,1,10/2/15,0,2,Inner,41.20082816,2
Mcap,Healthy,3,10/2/15,0,2,Inner,27.12215321,2
Mcap,Pale,2,10/2/15,0,2,Inner,31.67701863,2
Mcap,Bleached,1,10/2/15,0,1,Outer,2.285714286,1
Mcap,Healthy,3,10/2/15,0,1,Outer,90.85714286,1
Mcap,Pale,2,10/2/15,0,1,Outer,6.857142857,1
Mcap,Bleached,1,10/2/15,0,1,Outer,25.19762846,2
Mcap,Healthy,3,10/2/15,0,1,Outer,40.01976285,2
Mcap,Pale,2,10/2/15,0,1,Outer,34.7826087,2
Mcap,Bleached,1,10/2/15,0,2,Outer,13.33333333,1
Mcap,Healthy,3,10/2/15,0,2,Outer,66.66666667,1
Mcap,Pale,2,10/2/15,0,2,Outer,20,1
Mcap,Bleached,1,10/2/15,0,2,Outer,13.72031662,2
Mcap,Healthy,3,10/2/15,0,2,Outer,45.91029024,2
Mcap,Pale,2,10/2/15,0,2,Outer,40.36939314,2
Pcomp,Bleached,1,10/2/15,0,1,Inner,83.52201258,1
Pcomp,Healthy,3,10/2/15,0,1,Inner,0.125786164,1
Pcomp,Pale,2,10/2/15,0,1,Inner,16.35220126,1
Pcomp,Bleached,1,10/2/15,0,1,Inner,58.85022693,2
Pcomp,Healthy,3,10/2/15,0,1,Inner,24.20574887,2
Pcomp,Pale,2,10/2/15,0,1,Inner,16.94402421,2
Pcomp,Bleached,1,10/2/15,0,2,Inner,92.39130435,1
Pcomp,Healthy,3,10/2/15,0,2,Inner,0.27173913,1
Pcomp,Pale,2,10/2/15,0,2,Inner,7.336956522,1
Pcomp,Bleached,1,10/2/15,0,2,Inner,48.47328244,2
Pcomp,Healthy,3,10/2/15,0,2,Inner,27.09923664,2
Pcomp,Pale,2,10/2/15,0,2,Inner,24.42748092,2
Pcomp,Bleached,1,10/2/15,0,1,Outer,13.78830084,1
Pcomp,Healthy,3,10/2/15,0,1,Outer,40.32033426,1
Pcomp,Pale,2,10/2/15,0,1,Outer,45.8913649,1
Pcomp,Bleached,1,10/2/15,0,1,Outer,24.14634146,2
Pcomp,Healthy,3,10/2/15,0,1,Outer,59.02439024,2
Pcomp,Pale,2,10/2/15,0,1,Outer,16.82926829,2
Pcomp,Bleached,1,10/2/15,0,2,Outer,6.94143167,1
Pcomp,Healthy,3,10/2/15,0,2,Outer,64.56977585,1
Pcomp,Pale,2,10/2/15,0,2,Outer,28.48879248,1
Pcomp,Bleached,1,10/2/15,0,2,Outer,5.570530099,2
Pcomp,Healthy,3,10/2/15,0,2,Outer,56.33423181,2
Pcomp,Pale,2,10/2/15,0,2,Outer,38.0952381,2